iter	Passed	Remaining
0	51	15352
1	53	7953
2	55	5470
3	57	4252
4	59	3511
5	61	3013
6	63	2658
7	65	2400
8	68	2204
9	70	2045
10	72	1911
11	75	1801
12	77	1711
13	79	1633
14	82	1565
15	84	1505
16	87	1450
17	89	1402
18	91	1359
19	94	1319
20	96	1284
21	99	1251
22	101	1222
23	103	1195
24	106	1169
25	108	1145
26	110	1121
27	113	1097
28	115	1074
29	116	1052
30	118	1029
31	120	1006
32	121	984
33	123	962
34	124	941
35	125	921
36	126	901
37	127	882
38	128	863
39	129	844
40	130	827
41	131	810
42	132	793
43	133	777
44	134	761
45	135	746
46	135	731
47	136	717
48	137	703
49	138	690
50	138	676
51	139	664
52	139	651
53	140	639
54	141	628
55	141	617
56	142	606
57	142	596
58	143	586
59	144	576
60	144	566
61	145	557
62	145	548
63	146	540
64	147	531
65	147	523
66	148	515
67	148	507
68	149	500
69	149	492
70	150	485
71	151	478
72	151	471
73	152	465
74	152	458
75	153	452
76	154	446
77	154	440
78	155	434
79	155	428
80	156	423
81	157	417
82	157	412
83	158	407
84	158	401
85	159	396
86	160	391
87	160	387
88	161	382
89	161	377
90	162	373
91	163	368
92	163	364
93	164	359
94	164	355
95	165	351
96	165	347
97	166	343
98	167	339
99	167	335
100	168	331
101	168	327
102	169	324
103	170	320
104	170	316
105	171	313
106	171	309
107	172	306
108	172	303
109	173	299
110	174	296
111	174	293
112	175	290
113	175	286
114	176	283
115	177	280
116	177	277
117	178	274
118	178	272
119	179	269
120	180	266
121	180	263
122	181	260
123	181	258
124	182	255
125	182	252
126	183	250
127	184	247
128	184	244
129	185	242
130	185	239
131	186	237
132	187	234
133	187	232
134	188	230
135	188	227
136	189	225
137	190	223
138	190	220
139	191	218
140	191	216
141	192	214
142	193	212
143	193	209
144	194	208
145	195	206
146	195	203
147	196	201
148	197	199
149	197	197
150	198	195
151	198	193
152	199	191
153	200	189
154	200	187
155	201	185
156	202	184
157	202	182
158	203	180
159	203	178
160	204	176
161	205	174
162	205	172
163	206	170
164	206	169
165	207	167
166	207	165
167	208	163
168	209	162
169	209	160
170	210	158
171	210	156
172	211	155
173	212	153
174	212	151
175	213	150
176	213	148
177	214	147
178	215	145
179	215	143
180	216	142
181	216	140
182	217	139
183	218	137
184	218	135
185	219	134
186	219	132
187	220	131
188	221	129
189	221	128
190	222	126
191	222	125
192	223	123
193	224	122
194	224	120
195	225	119
196	225	118
197	226	116
198	227	115
199	227	113
200	228	112
201	228	110
202	229	109
203	229	108
204	230	106
205	231	105
206	231	104
207	232	102
208	232	101
209	233	100
210	234	98
211	234	97
212	235	96
213	236	94
214	236	93
215	237	92
216	238	91
217	238	89
218	239	88
219	239	87
220	240	85
221	241	84
222	241	83
223	242	82
224	242	80
225	243	79
226	244	78
227	244	77
228	245	76
229	246	74
230	247	73
231	248	72
232	248	71
233	249	70
234	250	69
235	251	68
236	252	66
237	252	65
238	253	64
239	254	63
240	255	62
241	255	61
242	256	60
243	257	59
244	258	57
245	259	56
246	259	55
247	260	54
248	261	53
249	262	52
250	263	51
251	263	50
252	264	49
253	264	47
254	265	46
255	266	45
256	266	44
257	267	43
258	267	42
259	268	41
260	269	40
261	269	39
262	270	38
263	270	36
264	271	35
265	272	34
266	272	33
267	273	32
268	273	31
269	274	30
270	275	29
271	275	28
272	276	27
273	276	26
274	277	25
275	278	24
276	278	23
277	279	22
278	279	21
279	280	20
280	281	19
281	281	17
282	282	16
283	282	15
284	283	14
285	284	13
286	284	12
287	285	11
288	286	10
289	286	9
290	287	8
291	287	7
292	288	6
293	288	5
294	289	4
295	290	3
296	290	2
297	291	1
298	291	0
299	292	0
