Model,Sentetik,AUC_PR,F1,MCC
RandomForest,0,0.9673,0.9108,0.891
RandomForest,250,0.9713,0.9151,0.897
RandomForest,500,0.9695,0.9048,0.8853
RandomForest,1000,0.9705,0.9151,0.897
RandomForest,2000,0.9702,0.8952,0.8734
ExtraTrees,0,0.9829,0.9309,0.9143
ExtraTrees,250,0.9831,0.9309,0.9143
ExtraTrees,500,0.9828,0.9358,0.9201
ExtraTrees,1000,0.9829,0.9302,0.9144
ExtraTrees,2000,0.9818,0.9259,0.9085
LogReg,0,0.9271,0.7716,0.7327
LogReg,250,0.9154,0.7839,0.7454
LogReg,500,0.9098,0.7755,0.7389
LogReg,1000,0.91,0.7565,0.7198
LogReg,2000,0.8732,0.6919,0.654
